Symbol,CIK,Year,Filing Date,Cosine Distance,Return Date,Return,Return +1,Cosine Similarity,Bins
MMM,66740,2004,2005-02-24,0.004748691738027722,2005-02-28,0.0,4.9346,0.9952513082619723,5
MMM,66740,2005,2006-02-21,0.010076684725560003,2006-02-28,1.7869,2.0848,0.98992331527444,3
MMM,66740,2006,2007-02-26,0.004970343684424838,2007-02-28,0.3499,2.8537,0.9950296563155752,4
MMM,66740,2007,2008-02-15,0.006057336235305244,2008-02-29,-0.9416,3.1722,0.9939426637646948,3
MMM,66740,2008,2009-02-17,0.007101716524777979,2009-02-27,-14.538,0.9566,0.992898283475222,4
MMM,66740,2009,2010-02-16,0.004239306418998279,2010-02-26,0.2298,9.3709,0.9957606935810017,4
MMM,66740,2010,2011-02-16,0.008228461614766869,2011-02-28,5.5278,4.267,0.9917715383852331,3
MMM,66740,2011,2012-02-16,0.0006635210453727058,2012-02-29,1.7068,1.377,0.9993364789546273,5
MMM,66740,2012,2013-02-14,0.0007362926826388616,2013-02-28,4.0627,1.8379,0.9992637073173611,5
MMM,66740,2013,2014-02-13,0.0007634641683943455,2014-02-28,5.7688,2.2212,0.9992365358316057,5
MMM,66740,2014,2015-02-12,0.0006358092685101457,2015-02-27,4.5441,0.6903,0.9993641907314899,5
MMM,66740,2015,2016-02-11,0.015201703332694105,2016-02-29,4.6225,-2.1939,0.9847982966673059,2
MMM,66740,2016,2017-02-09,0.012178514807067442,2017-02-28,7.2675,6.2217,0.9878214851929326,2
MMM,66740,2017,2018-02-08,0.013599010681544454,2018-02-28,-5.4411,2.6724,0.9864009893184555,2
MMM,66740,2018,2019-02-07,0.001468682193085824,2019-02-28,4.2586,-6.7895,0.9985313178069142,4
MMM,66740,2019,2020-02-06,0.005976915088931278,2020-02-28,-5.0107,0.1881,0.9940230849110687,3
MMM,66740,2020,2021-02-04,0.0075976954415891695,2021-02-26,0.501,-8.5299,0.9924023045584108,3
MMM,66740,2021,2022-02-09,0.004473514279255686,2022-02-28,-9.5651,10.0651,0.9955264857207443,3
MMM,66740,2022,2023-02-08,0.026857484481140004,2023-02-28,-5.0747,0.1547,0.97314251551886,2
MMM,66740,2023,2024-02-07,0.017681563014814605,2024-02-29,-0.7631,-2.4411,0.9823184369851854,2
ABT,1800,2004,2005-03-02,0.008134984179757443,2005-03-31,1.3699,7.7372,0.9918650158202426,4
ABT,1800,2005,2006-02-22,0.019037119757721266,2006-02-28,2.387,1.3699,0.9809628802422787,2
ABT,1800,2006,2007-02-23,0.009317135571349833,2007-02-28,3.0566,-3.8705,0.9906828644286502,3
ABT,1800,2007,2008-02-19,0.050475366495383645,2008-02-29,-4.6814,2.1604,0.9495246335046164,1
ABT,1800,2008,2009-02-20,0.07721687067532157,2009-02-27,-14.6104,2.9879,0.9227831293246784,1
ABT,1800,2009,2010-02-19,0.003482516825483728,2010-02-26,2.5312,0.7605,0.9965174831745163,4
ABT,1800,2010,2011-02-18,0.05923678955408307,2011-02-28,6.5102,-2.9477,0.9407632104459169,1
ABT,1800,2011,2012-02-21,0.002211278744387979,2012-02-29,4.5429,1.9751,0.997788721255612,4
ABT,1800,2012,2013-02-15,0.06257602574938503,2013-02-28,-0.2656,8.2671,0.937423974250615,1
ABT,1800,2013,2014-02-21,0.04302440793455542,2014-02-28,8.5106,4.528,0.9569755920654446,1
ABT,1800,2014,2015-02-27,0.04922912749669872,2015-02-27,5.8311,-3.1926,0.9507708725033013,1
ABT,1800,2015,2016-02-19,0.045352672022298535,2016-02-29,2.3514,-2.1955,0.9546473279777015,1
ABT,1800,2016,2017-02-17,0.09201379873400173,2017-02-28,7.9244,7.9763,0.9079862012659983,1
ABT,1800,2017,2018-02-16,0.007045475489384945,2018-02-28,-2.944,-1.4863,0.992954524510615,3
ABT,1800,2018,2019-02-22,0.0063311481535814895,2019-02-28,6.3579,-0.6796,0.9936688518464185,3
ABT,1800,2019,2020-02-21,0.02350018580734181,2020-02-28,-11.602,2.9889,0.9764998141926582,1
ABT,1800,2020,2021-02-19,0.04103588009597159,2021-02-26,-3.0828,2.4406,0.9589641199040284,1
ABT,1800,2021,2022-02-18,0.08733735277928123,2022-02-28,-5.3664,0.0501,0.9126626472207188,1
ABT,1800,2022,2023-02-17,0.001055772249155984,2023-02-28,-7.9873,-1.8737,0.998944227750844,5
ABT,1800,2023,2024-02-16,0.0721886589240126,2024-02-29,4.852,-0.4522,0.9278113410759874,1
ABBV,1551152,2013,2014-02-21,0.052091860527452294,2014-02-28,3.4126,10.455,0.9479081394725477,1
ABBV,1551152,2014,2015-02-20,0.0012461239034875504,2015-02-27,0.2486,0.9625,0.9987538760965124,4
ABBV,1551152,2015,2016-02-19,0.03235666934266246,2016-02-29,-0.5282,-3.2397,0.9676433306573375,1
ABBV,1551152,2016,2017-02-17,0.003932133738132171,2017-02-28,1.1946,4.5962,0.9960678662618678,3
ABBV,1551152,2017,2018-02-16,0.006518350414959295,2018-02-28,3.2169,5.3687,0.9934816495850407,3
ABBV,1551152,2018,2019-02-27,0.009530291362327636,2019-02-28,-1.3078,-18.2854,0.9904697086376724,2
ABBV,1551152,2019,2020-02-21,0.01111504755967796,2020-02-28,5.7887,1.7037,0.988884952440322,2
ABBV,1551152,2020,2021-02-19,0.0012417312508428147,2021-02-26,5.1327,-11.1072,0.9987582687491572,5
ABBV,1551152,2021,2022-02-18,0.013885988380046399,2022-02-28,7.948,0.4455,0.9861140116199536,2
ABBV,1551152,2022,2023-02-17,0.014567626279788248,2023-02-28,4.1624,9.7043,0.9854323737202118,2
ABBV,1551152,2023,2024-02-20,0.00047553070826877875,2024-02-29,7.0864,3.5543,0.9995244692917312,5
ADBE,796343,2004,2005-02-02,0.004800123100251796,2005-02-28,8.5237,5.5369,0.9951998768997482,4
ADBE,796343,2005,2006-02-08,0.0025137336175169445,2006-02-28,-2.9701,8.7976,0.9974862663824831,5
ADBE,796343,2006,2007-02-05,0.016447748748704027,2007-02-28,0.9776,-9.3385,0.983552251251296,2
ADBE,796343,2007,2008-01-24,0.008513549740850945,2008-01-31,-18.2542,0.9776,0.991486450259149,3
ADBE,796343,2008,2009-01-23,0.009152485490908635,2009-01-30,-9.3002,-3.6645,0.9908475145090914,3
ADBE,796343,2009,2010-01-22,0.010593348810749137,2010-01-29,-12.1805,-13.5163,0.9894066511892509,3
ADBE,796343,2010,2011-01-27,0.004106622656270487,2011-01-31,7.3749,7.2756,0.9958933773437295,3
ADBE,796343,2011,2012-01-26,0.005926404012159048,2012-01-31,9.48,4.3873,0.994073595987841,3
ADBE,796343,2012,2013-01-22,0.017794470717503952,2013-01-31,0.3981,6.2682,0.982205529282496,2
ADBE,796343,2013,2014-01-21,0.006176815860952312,2014-01-31,-1.1507,3.9122,0.9938231841390477,3
ADBE,796343,2014,2015-01-20,0.015169068192986912,2015-01-30,-3.5351,15.9486,0.9848309318070131,2
ADBE,796343,2015,2016-01-19,0.0158981063659821,2016-01-29,-5.1203,12.7905,0.9841018936340179,2
ADBE,796343,2016,2017-01-20,0.0004460498469383012,2017-01-31,10.1311,-4.4654,0.9995539501530617,5
ADBE,796343,2017,2018-01-22,0.001011533716747115,2018-01-31,13.9922,4.3747,0.9989884662832529,5
ADBE,796343,2018,2019-01-25,0.0010990372738999277,2019-01-31,9.5385,4.6906,0.9989009627261001,5
ADBE,796343,2019,2020-01-21,0.017000060291832764,2020-01-31,6.4674,5.9237,0.9829999397081672,2
ADBE,796343,2020,2021-01-15,0.005752888298576675,2021-01-29,-8.268,-1.7144,0.9942471117014233,3
ADBE,796343,2021,2022-01-21,0.04411420947882183,2022-01-31,-5.7772,0.1962,0.9558857905211782,1
ADBE,796343,2022,2023-01-17,0.000764381696362948,2023-01-31,10.0467,-12.4687,0.999235618303637,5
ADBE,796343,2023,2024-01-17,0.003797322118469393,2024-01-31,3.5501,-12.5263,0.9962026778815306,3
AMD,2488,2004,2005-03-01,0.011688851795988331,2005-03-31,-7.6218,-12.3845,0.9883111482040117,3
AMD,2488,2005,2006-02-27,0.04439492644726872,2006-02-28,-7.488,-7.6218,0.9556050735527313,1
AMD,2488,2006,2007-03-01,0.008586304645401333,2007-03-30,-13.3378,-2.4427,0.9914136953545987,3
AMD,2488,2007,2008-02-26,0.006556708468080541,2008-02-29,-5.0066,-13.3378,0.9934432915319195,3
AMD,2488,2008,2009-02-24,0.002676898768380509,2009-02-27,-0.4566,-18.3079,0.9973231012316195,5
AMD,2488,2009,2010-02-19,0.004072273480437483,2010-02-26,6.0322,39.9083,0.9959277265195625,4
AMD,2488,2010,2011-02-18,0.007154695533800881,2011-02-28,17.6245,17.1934,0.9928453044661991,3
AMD,2488,2011,2012-02-24,0.013338561530117365,2012-02-29,9.538,-6.6232,0.9866614384698826,2
AMD,2488,2012,2013-02-21,0.003176774474407118,2013-02-28,-4.2308,9.1157,0.9968232255255929,4
AMD,2488,2013,2014-02-18,0.002768656585882212,2014-02-28,8.1633,2.4096,0.9972313434141178,4
AMD,2488,2014,2015-02-19,0.0025792164967439746,2015-02-27,21.0117,8.0863,0.997420783503256,4
AMD,2488,2015,2016-02-18,0.028410661626435685,2016-02-29,-2.7273,-13.8264,0.9715893383735643,1
AMD,2488,2016,2017-02-21,0.000756189991102385,2017-02-28,39.4407,33.1776,0.9992438100088976,5
AMD,2488,2017,2018-02-27,0.0009778440320972193,2018-02-28,-11.8632,0.6224,0.9990221559679028,5
AMD,2488,2018,2019-02-08,0.006096001872701873,2019-02-28,-3.6051,-17.0107,0.9939039981272981,3
AMD,2488,2019,2020-02-04,0.022510158635461797,2020-02-28,-3.234,8.4573,0.9774898413645382,1
AMD,2488,2020,2021-01-29,0.019041456849788196,2021-01-29,-6.6187,-3.234,0.9809585431502118,2
AMD,2488,2021,2022-02-03,0.03209272693323051,2022-02-28,7.9562,-7.1116,0.9679072730667695,1
AMD,2488,2022,2023-02-27,0.002285636883457398,2023-02-28,4.5642,-11.3507,0.9977143631165426,4
AMD,2488,2023,2024-01-31,0.018900217475419145,2024-01-31,13.7575,4.5642,0.9810997825245809,2
AES,874761,2004,2005-03-30,0.0034559996465757248,2005-03-31,-2.1505,1.6413,0.9965440003534243,5
AES,874761,2005,2006-04-04,0.003389932980175203,2006-04-28,-0.5276,-7.4005,0.9966100670198248,4
AES,874761,2006,2007-05-23,0.008376884025391274,2007-05-31,7.9127,0.2717,0.9916231159746087,3
AES,874761,2007,2008-03-17,0.01079934271906513,2008-03-31,-7.2859,2.184,0.9892006572809349,3
AES,874761,2008,2009-02-26,0.012609013356449372,2009-02-27,-20.354,-7.2859,0.9873909866435506,3
AES,874761,2009,2010-02-26,0.03238920646357113,2010-02-26,-7.4426,-7.7778,0.9676107935364289,1
AES,874761,2010,2011-02-28,0.0015417580297112377,2011-02-28,-0.2419,-5.9025,0.9984582419702888,5
