tic,cik,permno
aapl,0000320193,14593
msft,0000789019,10107
unh,0000731766,92655
jnj,0000200406,22111
v,0001403161,46842
v,0001403161,75817
v,0001403161,88614
v,0001403161,92611
tsm,0001046179,85442
xom,0000034088,11850
wmt,0000104169,55976
spy,0000884394,60716
jpm,0000019617,47896
jpm,0000019617,48071
pg,0000080424,18163
nvda,0001045810,86580
lvmuy,0000824046,11785
ma,0001141391,91233
cvx,0000093410,14541
tsla,0001318605,93436
lly,0000059478,50876
hd,0000354950,66181
bac,0000070858,54893
bac,0000070858,58827
bac,0000070858,59408
pfe,0000078003,21936
ko,0000021344,11308
abbv,0001551152,13721
nvo,0000353278,63263
pep,0000077476,13856
cost,0000909832,87055
cost,0000909832,87055
mrk,0000310158,22752
tmo,0000097745,62092
avgo,0001730168,88618
avgo,0001730168,93002
dhr,0000313616,49680
dis,0001744489,26403
tm,0001094517,76655
tm,0001094517,77456
mcd,0000063908,43449
asml,0000937966,81472
orcl,0001341439,10104
abt,0000001800,20482
csco,0000858877,76076
nvs,0001114448,88233
azn,0000901832,79363
tmus,0001283699,91937
wfc,0000072971,38703
wfc,0000072971,50024
acn,0001467373,69198
acn,0001467373,75469
acn,0001467373,89071
vz,0000732712,65875
nee,0000753308,24205
nke,0000320187,57665
ups,0001090727,87447
bmy,0000014272,19393
ms,0000895421,69032
cmcsa,0001166691,11997
cmcsa,0001166691,89525
cmcsa,0001166691,89565
crm,0001108524,67440
crm,0001108524,50868
crm,0001108524,90215
cop,0001163165,13928
cop,0001163165,67854
txn,0000097476,15579
adbe,0000796343,75510
pm,0001413329,92602
lin,0001707925,84169
lin,0001707925,89407
lin,0001707925,14029
unp,0000100885,48725
qcom,0000804328,77178
ry,0001000275,82654
schw,0000316709,75186
cvs,0000064803,17005
bhp,0000811809,75039
low,0000060667,61399
amgn,0000318154,14008
rtx,0000101829,41996
asti,0001350102,85856
asti,0001350102,91428
hsbc,0001089113,87033
hdb,0001144967,89056
mdt,0001613103,60097
hon,0000773840,10145
hon,0000773840,18374
td,0000947263,83835
axp,0000004962,59176
t,0000732717,10401
t,0000732717,66093
intu,0000896878,78975
intc,0000050863,59328
ul,0000217410,28302
lmt,0000936468,21178
ibm,0000051143,12490
amt,0001053507,10057
amt,0001053507,86111
gs,0000886982,86868
de,0000315189,19350
sbux,0000829224,77702
nflx,0001065280,89393
bp,0000313807,29890
sny,0001121404,76158
sny,0001121404,89475
deo,0000835403,76592
sap,0001000184,89382
cat,0000018230,18542
adp,0000008670,44644
c,0000831001,11260
c,0000831001,70519
ci,0001739940,59221
ci,0001739940,64186
blk,0001364742,87267
amd,0000002488,61241
bti,0001303523,59504
rio,0000863064,76221
el,0001001250,82642
ba,0000012927,19561
now,0001373715,13447
pbr,0001119639,88490
pld,0001045609,38797
